YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981,5,20,13.18,1.78,7.48,13.58,5,54.56,0,91.79,3.56,6.03,0.59,5.44,99.81,5.27,7.58,1.19,6.38,99.25
1981,5,21,13.79,5.37,9.58,14.25,6.29,59.88,0,90.79,3.15,4.01,2.65,1.35,126.19,5.06,6.12,3.41,2.7,124.44
1981,5,22,17.74,8.01,12.87,17.13,7.63,59.94,0,90.56,2.38,2.94,1.41,1.53,215.75,3.5,5.71,1.52,4.19,215.56
1981,5,23,19.87,12.16,16.01,19.32,9.89,67.19,0,90.43,2.91,4.36,2.4,1.96,205.38,4.24,5.37,2.98,2.39,204.94
1981,5,24,19.97,12.43,16.19,19.66,10.19,68.38,0.04,90.68,3.12,5.52,2.05,3.46,216.62,4.34,6.46,3.05,3.41,216.5
1981,5,25,12.14,4.53,8.33,12.96,5.8,61.38,0.03,91.45,2.4,3.12,1.38,1.74,129.44,3.05,3.58,2.4,1.18,131
1981,5,26,10.49,5.88,8.19,11.12,6.35,76,0.26,91.48,2.01,3.53,1.16,2.38,60.06,2.72,3.95,1.95,1.99,59.94
1981,5,27,11.88,7.53,9.7,12.19,7.14,78,0.19,91.22,2.56,4.72,0.82,3.89,95.44,3.69,5.53,1.21,4.32,93.62
1981,5,28,15.1,8.7,11.9,15.18,7.81,72,0.06,90.86,2.84,4.02,2.02,2,216.31,4.59,6.07,2.53,3.54,214.5
1981,5,29,17.18,12.38,14.78,17.11,9.95,76.94,0,90.69,2.47,4.29,0.52,3.76,191,3.72,5.41,0.61,4.8,174.88
1981,5,30,18.35,12.79,15.57,18.44,10.25,74.81,0,90.37,2.32,2.97,0.46,2.51,204,3.45,5.42,0.42,5,202.69
1981,5,31,18.45,9.96,14.21,17.7,8.61,64.5,0.01,90.13,2.48,3.99,1.13,2.85,204.75,3.54,4.82,1.9,2.92,204.69
1981,6,1,14.79,9.89,12.33,15.59,8.42,75.12,0.13,90.4,2.42,4,1.3,2.7,144.56,3.49,4.58,2.1,2.47,145.12
1981,6,2,11.83,7.89,9.86,11.56,7.39,78.31,0,90.96,2.56,5.03,0.27,4.76,166.75,3.37,5.86,0.35,5.51,167.5
1981,6,3,10.04,6.42,8.23,10.15,6.59,80.06,0.03,91.29,3.12,5.42,1.84,3.58,27.69,4.41,6.27,2.86,3.41,27.31
1981,6,4,9.98,5.62,7.8,10.19,6.23,77.44,0.1,91.16,3.22,4.82,1.92,2.9,20.94,4.76,5.7,3.23,2.46,21
1981,6,5,11.13,4.65,7.89,10.84,5.86,68.44,0,90.9,1.88,2.45,1.14,1.3,167,2.65,4.1,1.85,2.26,165.25
1981,6,6,11.4,4.67,8.03,10.69,5.8,66.06,0,91.3,2.21,4.56,0.34,4.22,238.44,2.82,5.05,0.51,4.55,240.44
1981,6,7,11.49,4.74,8.12,11.15,5.86,67.19,0,91.35,3.29,5.59,1.45,4.16,141.06,4.73,6.71,2.09,4.62,139.94
